시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
포천시,경복대입구,Kyungbok University,236001099,40334,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9451833000,127.2248333000
포천시,경복대입구,Kyungbok University,236000785,41323,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9451167000,127.2249167000
포천시,경복대차고지(경유),,277102503,,,,,37.9454500000,127.2249167000
포천시,계류1리,Gyeryu 1-ri,236000246,41070,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9519167000,127.1804500000
포천시,계류1리,Gyeryu 1-ri ,236000274,41071,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9519833000,127.1801167000
포천시,고려통상,Goryeo Trade,236001055,41275,노변정류장,경기도 포천시,경기도 포천시 군내면,37.8596333000,127.2154333000
포천시,고모1리마을회관입구,Gomo 1-ri Community Center,236001014,40556,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8060333000,127.1713000000
포천시,고모1리회관,Gomo 1-ri Community Center,236001015,40226,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8068500000,127.1724000000
포천시,고모1리회관,Gomo 1-ri Community Center,236001016,40225,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8068333000,127.1722500000
포천시,고모3리,Gomo 3-ri,236000612,40557,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.7939000000,127.1653167000
포천시,고모저수지입구,Gomo Reservoir,236001010,40196,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8087500000,127.1649833000
